nome_azienda,settore,anni_attivita,fatturato,debiti,ritardo_medio_pagamenti,crescita_fatturato
Azienda_1,Turismo,37,470571,912826,50,3.7
Azienda_2,Manifattura,24,1225592,599991,62,23.1
Azienda_3,Tecnologia,29,841267,862522,3,22.2
Azienda_4,Manifattura,31,1643023,803692,0,-4.0
Azienda_5,Manifattura,35,547562,1161157,7,21.4
Azienda_6,Edilizia,33,1801541,1314532,28,-18.1
Azienda_7,Tecnologia,21,433934,421240,54,9.8
Azienda_8,Tecnologia,32,1990624,902580,102,-8.5
Azienda_9,Tecnologia,23,1963760,944789,2,-14.0
Azienda_10,Manifattura,33,367428,1009940,31,-16.2
Azienda_11,Turismo,3,1417763,116421,9,14.8
Azienda_12,Tecnologia,18,1092892,525893,73,-3.0
Azienda_13,Manifattura,25,740907,72303,82,16.2
Azienda_14,Edilizia,31,1982015,158211,109,-16.7
Azienda_15,Turismo,3,132844,994653,33,-4.2
Azienda_16,Edilizia,24,1650396,187210,96,7.0
Azienda_17,Turismo,32,1263997,862557,86,19.5
Azienda_18,Manifattura,22,172402,144990,54,-4.1
Azienda_19,Alimentare,23,1216588,1207094,91,11.3
Azienda_20,Turismo,2,488661,124040,31,24.3
Azienda_21,Edilizia,27,448929,668406,49,10.8
Azienda_22,Manifattura,2,630466,418034,6,-8.4
Azienda_23,Turismo,26,623695,756254,92,-18.8
Azienda_24,Alimentare,17,513556,1033255,7,23.5
Azienda_25,Alimentare,33,625278,790756,64,-18.9
Azienda_26,Tecnologia,9,1043176,795543,56,23.7
Azienda_27,Tecnologia,39,1228049,955614,118,6.4
Azienda_28,Edilizia,29,1033049,540677,66,27.0
Azienda_29,Turismo,26,528007,1352147,87,19.9
Azienda_30,Turismo,35,894573,997083,86,29.9
Azienda_31,Tecnologia,25,1515585,1171459,58,-2.5
Azienda_32,Turismo,24,1417290,762501,71,18.4
Azienda_33,Turismo,13,1324732,387952,53,0.1
Azienda_34,Alimentare,7,1267540,112221,110,4.0
Azienda_35,Tecnologia,36,575303,1030117,100,11.4
Azienda_36,Manifattura,20,1160389,799666,66,23.7
Azienda_37,Tecnologia,1,77712,260669,50,29.2
Azienda_38,Manifattura,8,1723361,759224,96,18.4
Azienda_39,Alimentare,16,1865790,839873,91,0.9
Azienda_40,Edilizia,14,162816,525134,110,1.1
Azienda_41,Turismo,12,1227354,1389959,7,16.9
Azienda_42,Alimentare,23,1685156,244761,33,-8.1
Azienda_43,Turismo,15,335977,832946,34,-14.5
Azienda_44,Edilizia,28,185230,874668,95,-2.3
Azienda_45,Edilizia,34,1816616,137541,87,-5.6
