nome_azienda,settore,anni_attivita,fatturato,debiti,ritardo_medio_pagamenti,crescita_fatturato,rapporto_debiti,punti_debiti,punti_ritardo,punti_totali,rischio_finale
Azienda_1,Turismo,37,470571,912826,50,3.7,1.939826296138096,2,1,3,Alto
Azienda_2,Manifattura,24,1225592,599991,62,23.1,0.48955198793725807,0,1,1,Basso
Azienda_3,Tecnologia,29,841267,862522,3,22.2,1.0252654626890154,2,0,2,Medio
Azienda_4,Manifattura,31,1643023,803692,0,-4.0,0.48915444275582265,0,0,0,Basso
Azienda_5,Manifattura,35,547562,1161157,7,21.4,2.1205945628074994,2,0,2,Medio
Azienda_6,Edilizia,33,1801541,1314532,28,-18.1,0.7296708762109771,1,0,1,Basso
Azienda_7,Tecnologia,21,433934,421240,54,9.8,0.9707467034157268,1,1,2,Medio
Azienda_8,Tecnologia,32,1990624,902580,102,-8.5,0.4534156123908885,0,2,2,Medio
Azienda_9,Tecnologia,23,1963760,944789,2,-14.0,0.48111225404326396,0,0,0,Basso
Azienda_10,Manifattura,33,367428,1009940,31,-16.2,2.7486745702559414,2,1,3,Alto
Azienda_11,Turismo,3,1417763,116421,9,14.8,0.08211598130293991,0,0,0,Basso
Azienda_12,Tecnologia,18,1092892,525893,73,-3.0,0.48119393316082465,0,1,1,Basso
Azienda_13,Manifattura,25,740907,72303,82,16.2,0.0975871465649535,0,1,1,Basso
Azienda_14,Edilizia,31,1982015,158211,109,-16.7,0.07982331112529421,0,2,2,Medio
Azienda_15,Turismo,3,132844,994653,33,-4.2,7.487376170545904,2,1,3,Alto
Azienda_16,Edilizia,24,1650396,187210,96,7.0,0.11343338204891432,0,2,2,Medio
Azienda_17,Turismo,32,1263997,862557,86,19.5,0.6824043095038992,1,1,2,Medio
Azienda_18,Manifattura,22,172402,144990,54,-4.1,0.8409995243674667,1,1,2,Medio
Azienda_19,Alimentare,23,1216588,1207094,91,11.3,0.9921962077548028,1,2,3,Alto
Azienda_20,Turismo,2,488661,124040,31,24.3,0.2538365042432279,0,1,1,Basso
Azienda_21,Edilizia,27,448929,668406,49,10.8,1.4888902254031262,2,1,3,Alto
Azienda_22,Manifattura,2,630466,418034,6,-8.4,0.6630555811098457,1,0,1,Basso
Azienda_23,Turismo,26,623695,756254,92,-18.8,1.2125381797192538,2,2,4,Alto
Azienda_24,Alimentare,17,513556,1033255,7,23.5,2.011961694537694,2,0,2,Medio
Azienda_25,Alimentare,33,625278,790756,64,-18.9,1.2646470849766025,2,1,3,Alto
Azienda_26,Tecnologia,9,1043176,795543,56,23.7,0.762616279515633,1,1,2,Medio
